bairro,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,total
ABRANCHES,0,0,0,0,0,0,0,0,0,1,0,0,1
AGUA VERDE,0,0,0,0,0,0,0,0,0,0,2,0,2
AHU,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO BOQUEIRAO,0,0,0,0,0,0,0,0,1,0,0,0,1
ALTO DA GLORIA,0,0,0,0,0,1,0,0,0,0,0,0,1
ALTO DA RUA XV,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUBA,0,1,0,0,0,0,0,1,0,0,0,1,3
AUGUSTA,0,0,1,0,0,0,0,0,0,0,0,0,1
BACACHERI,0,0,0,0,0,0,0,0,0,0,0,0,0
BAIRRO ALTO,0,0,0,1,0,0,1,0,0,0,0,0,2
BARREIRINHA,0,0,0,0,1,0,0,0,0,0,0,0,1
BATEL,0,0,0,0,0,0,0,0,0,0,0,0,0
BIGORRILHO,0,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA,1,0,0,0,0,0,0,0,1,0,0,0,2
BOM RETIRO,0,0,0,0,0,0,0,0,0,0,0,0,0
BOQUEIRAO,0,1,0,1,0,1,0,0,0,0,0,1,4
BUTIATUVINHA,0,1,0,0,0,0,1,0,0,0,0,1,3
CABRAL,0,0,0,0,0,0,0,0,0,0,0,1,1
CACHOEIRA,0,0,0,2,0,0,0,0,0,0,0,0,2
CAJURU,2,2,3,2,1,0,1,4,0,1,0,2,18
CAMPINA DO SIQUEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO COMPRIDO,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO DE SANTANA,1,0,0,0,0,1,0,0,0,1,0,1,4
CAPAO DA IMBUIA,0,0,0,0,0,0,0,0,0,1,0,0,1
CAPAO RASO,0,0,0,0,0,0,0,0,0,1,0,0,1
CASCATINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAXIMBA,1,1,0,0,0,0,0,0,0,0,1,0,3
CENTRO,0,0,1,0,0,3,1,1,0,2,0,2,10
CENTRO CIVICO,0,0,0,0,0,0,0,0,0,0,0,0,0
CIDADE INDUSTRIAL DE CURITIBA,1,3,6,2,2,2,0,2,1,2,2,0,23
CRISTO REI,0,0,0,0,0,0,0,0,0,0,0,0,0
FANNY,0,0,0,0,3,0,0,0,0,0,0,0,3
FAZENDINHA,1,0,0,0,0,0,0,0,0,0,0,0,1
GANCHINHO,0,0,0,0,0,1,0,0,0,1,0,1,3
GUABIROTUBA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIRA,1,0,0,0,0,0,0,1,0,0,1,0,3
HAUER,0,0,0,0,0,0,0,2,0,0,0,0,2
HUGO LANGE,0,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM BOTANICO,0,0,1,0,0,0,0,1,0,1,0,0,3
JARDIM DAS AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM SOCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
JUVEVE,0,0,0,0,0,1,0,0,0,0,0,0,1
LAMENHA PEQUENA,0,1,0,0,0,0,0,0,0,0,0,0,1
LINDOIA,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCES,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSSUNGUE,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVO MUNDO,0,0,0,0,0,0,1,0,0,0,0,0,1
ORLEANS,0,0,0,0,0,0,0,0,0,1,0,0,1
PAROLIN,1,0,0,0,2,0,0,1,0,0,1,0,5
PILARZINHO,0,0,0,0,0,0,0,0,0,0,0,0,0
PINHEIRINHO,0,0,0,0,1,0,1,1,2,0,0,1,6
PORTAO,0,0,0,0,0,2,0,0,0,0,0,0,2
PRADO VELHO,0,0,0,1,0,0,2,0,0,2,0,2,7
REBOUCAS,0,0,0,1,0,1,0,0,0,0,0,2,4
RIVIERA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CANDIDA,0,0,0,0,0,0,0,1,0,0,1,0,2
SANTA FELICIDADE,0,0,0,0,0,1,0,0,1,1,0,0,3
SANTA QUITERIA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTO INACIO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO BRAZ,0,0,0,0,1,0,0,0,0,0,0,1,2
SAO FRANCISCO,0,0,0,0,0,0,1,1,0,0,0,0,2
SAO JOAO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO LOURENCO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO MIGUEL,1,1,0,0,0,0,0,0,0,0,0,0,2
SEMINARIO,0,0,0,0,0,0,0,0,0,0,0,0,0
SITIO CERCADO,2,0,1,0,2,0,1,6,3,1,0,0,16
TABOAO,0,0,0,0,0,0,0,0,0,0,0,0,0
TARUMA,0,0,0,0,0,0,0,0,0,0,0,0,0
TATUQUARA,3,2,0,0,2,0,2,0,1,0,2,1,13
TINGUI,0,0,0,0,0,0,0,0,0,0,0,0,0
UBERABA,0,0,1,1,0,0,0,1,0,0,0,0,3
UMBARA,0,0,0,1,0,0,0,0,0,0,1,0,2
VILA IZABEL,0,0,0,0,0,0,0,0,0,0,0,0,0
VISTA ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0,0
XAXIM,0,1,0,0,2,0,2,0,0,0,1,0,6
TOTAL,15,14,14,12,17,14,14,23,10,16,12,17,178
