bairro,jan,fev,mar,abr,mai,jun,jul,ago,set,out,nov,dez,total
ABRANCHES,0,0,0,0,0,0,0,0,0,0,0,0,0
AGUA VERDE,0,0,0,0,0,0,0,0,0,0,0,0,0
AHU,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO BOQUEIRAO,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO DA GLORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
ALTO DA RUA XV,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUBA,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGUSTA,0,0,0,0,0,0,0,0,0,0,0,0,0
BACACHERI,0,0,0,0,0,0,0,0,0,0,0,0,0
BAIRRO ALTO,0,0,0,0,0,0,0,0,0,0,0,0,0
BARREIRINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
BATEL,0,0,0,0,0,0,0,0,0,0,0,0,0
BIGORRILHO,0,0,0,0,0,0,0,0,0,0,0,0,0
BOA VISTA,0,0,0,0,0,0,0,0,0,0,0,0,0
BOM RETIRO,0,0,0,0,0,0,0,0,0,0,0,0,0
BOQUEIRAO,0,0,0,0,0,0,0,0,0,0,0,0,0
BUTIATUVINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
CABRAL,0,0,0,0,0,0,0,0,0,0,0,0,0
CACHOEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAJURU,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPINA DO SIQUEIRA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO COMPRIDO,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO DE SANTANA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPAO DA IMBUIA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAPAO RASO,0,0,0,0,0,0,0,0,0,0,0,0,0
CASCATINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
CAXIMBA,0,0,0,0,0,0,0,0,0,0,0,0,0
CENTRO,0,0,0,1,0,0,0,0,0,0,0,0,1
CENTRO CIVICO,0,0,0,0,0,0,0,0,0,0,0,0,0
CIDADE INDUSTRIAL DE CURITIBA,0,0,0,0,0,0,0,0,0,0,0,0,0
CRISTO REI,0,0,0,0,0,0,0,0,0,0,0,0,0
FANNY,0,0,0,0,0,0,0,0,0,0,0,0,0
FAZENDINHA,0,0,0,0,0,0,0,0,0,0,0,0,0
GANCHINHO,0,0,0,0,0,0,0,0,0,0,0,0,0
GUABIROTUBA,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAIRA,0,0,0,0,0,0,0,0,0,0,0,0,0
HAUER,0,0,0,0,0,0,0,0,0,0,0,0,0
HUGO LANGE,0,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM BOTANICO,0,0,0,0,0,0,0,1,0,0,0,0,1
JARDIM DAS AMERICAS,0,0,0,0,0,0,0,0,0,0,0,0,0
JARDIM SOCIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
JUVEVE,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMENHA PEQUENA,0,0,0,0,0,0,0,0,0,0,0,0,0
LINDOIA,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCES,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSSUNGUE,0,0,0,0,0,0,0,0,0,0,0,0,0
NOVO MUNDO,0,0,0,0,0,0,0,0,0,0,0,0,0
ORLEANS,0,0,0,0,0,0,0,0,0,0,0,0,0
PAROLIN,0,0,0,0,0,0,0,0,0,0,0,0,0
PILARZINHO,0,0,0,0,0,0,0,0,0,0,0,0,0
PINHEIRINHO,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTAO,0,0,1,0,0,0,0,0,0,0,0,0,1
PRADO VELHO,0,0,0,0,0,0,0,0,0,0,0,0,0
REBOUCAS,0,0,0,0,0,0,0,0,0,0,0,0,0
RIVIERA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA CANDIDA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA FELICIDADE,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTA QUITERIA,0,0,0,0,0,0,0,0,0,0,0,0,0
SANTO INACIO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO BRAZ,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO JOAO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO LOURENCO,0,0,0,0,0,0,0,0,0,0,0,0,0
SAO MIGUEL,0,0,0,0,0,0,0,0,0,0,0,0,0
SEMINARIO,0,0,0,0,0,0,0,0,0,0,0,0,0
SITIO CERCADO,0,0,0,0,0,0,0,0,0,0,0,0,0
TABOAO,0,0,0,0,0,0,0,0,0,0,0,0,0
TARUMA,0,0,0,0,0,0,0,0,0,0,0,0,0
TATUQUARA,0,0,0,0,0,0,0,0,0,0,0,0,0
TINGUI,0,0,0,0,0,0,0,0,0,0,0,0,0
UBERABA,0,0,0,0,0,0,0,0,0,0,0,0,0
UMBARA,0,0,0,0,0,0,0,0,0,0,0,0,0
VILA IZABEL,0,0,0,0,0,0,0,0,0,0,0,0,0
VISTA ALEGRE,0,0,0,0,0,0,0,0,0,0,0,0,0
XAXIM,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,0,0,1,1,0,0,0,1,0,0,0,0,3
